District,ELA_Proficiency,ELA_Proficiency_LowIncome,ELA_Proficiency_CWD,Math_Proficiency,Math_Proficiency_LowIncome,Math_Proficiency_CWD,Science_Proficiency,Science_Proficiency_LowIncome,Science_Proficiency_CWD
A-C CENTRAL CUSD 262,56.5,50.0,,43.5,,,,,
ABINGDON-AVON CUSD 276,52.0,38.6,,45.8,29.7,,45.8,,
ACE AMANDLA CHARTER SCHOOL,,,,,,,,,
ADDISON SD 4,40.028571428571425,34.42857142857143,25.0,30.214285714285715,25.657142857142855,25.0,34.980000000000004,33.86666666666667,
AKIN CCSD 91,68.9,60.0,,57.4,48.6,,57.1,,
ALBERS SD 63,66.0,,,56.0,,,63.0,,
ALDEN HEBRON SD 19,60.2,62.2,,53.0,56.8,,59.1,,
ALLEN-OTTER CREEK CCSD 65,38.5,,,33.8,,,58.8,,
ALLENDALE CCSD 17,51.1,41.9,,27.3,,,40.0,,
ALSIP-HAZLGRN-OAKLWN SD 126,49.23333333333333,43.800000000000004,,27.8,23.766666666666666,,31.0,18.9,
ALTAMONT CUSD 10,62.2,60.0,21.1,45.9,41.6,19.3,48.1,49.0,
ALTON CUSD 11,33.666666666666664,24.233333333333334,17.8,26.566666666666666,18.8,16.6,22.266666666666666,18.8,24.4
ALWOOD CUSD 225,57.9,52.8,,43.4,33.3,,44.0,,
AMBOY CUSD 272,55.7,42.9,,58.8,53.1,50.0,,,
ANNA CCSD 37,50.8,47.2,,50.0,40.3,,,,
ANNAWAN CUSD 226,75.9,69.8,,50.7,44.9,,52.9,,
ANTIOCH CCSD 34,55.6,38.3,29.433333333333334,47.4,29.200000000000003,26.0,48.06666666666666,32.6,48.1
APTAKISIC-TRIPP CCSD 102,72.0,48.9,34.7,69.86666666666666,34.8,33.3,69.4,40.0,34.2
ARBOR PARK SD 145,39.6,35.5,,36.3,30.4,,,,
ARCOLA CUSD 306,42.2,28.2,21.8,26.2,14.7,,40.9,38.5,
ARGENTA-OREANA CUSD 1,51.9,38.2,,40.9,27.5,,40.0,35.6,
ARLINGTON HEIGHTS SD 25,73.05714285714285,50.1,46.6,71.7,49.349999999999994,45.400000000000006,67.25714285714285,,48.95
ARMSTRONG-ELLIS CONS SD 61,63.3,53.6,,31.7,,,60.0,,
ARTHUR CUSD 305,47.43333333333334,36.86666666666667,31.4,34.63333333333333,26.96666666666667,31.4,37.5,,
ASHLEY CCSD 15,44.9,39.5,,33.3,28.9,,41.2,,
ASHTON-FRANKLIN CENTER CUSD 275,42.6,44.3,,31.9,29.0,,44.4,,
ASTORIA CUSD 1,47.6,40.0,,30.2,30.0,,91.7,,
ATHENS CUSD 213,68.85,54.650000000000006,,63.5,45.75,,54.7,,
ATWOOD HEIGHTS SD 125,31.7,27.6,20.4,20.1,19.4,,38.9,45.0,
AUBURN CUSD 10,37.0,29.5,,27.6,20.2,,36.6,32.4,
AURORA EAST USD 131,27.26923076923077,27.083333333333332,77.3,18.03076923076923,18.172727272727272,47.6,36.25,53.833333333333336,
AURORA WEST USD 129,31.839999999999996,22.52,25.0,29.65,20.61,24.5,33.2375,23.566666666666666,
AVISTON SD 21,80.4,50.0,38.6,75.1,,27.3,66.3,,
AVOCA SD 37,88.2,80.8,64.5,76.9,57.7,51.6,70.4,,
BALL CHATHAM CUSD 5,69.7,54.7,36.050000000000004,60.6,40.025,33.125,48.1,20.3,20.0
BANNOCKBURN SD 106,86.7,,,81.4,,,70.3,,
BARRINGTON CUSD 220,75.9875,62.10000000000001,60.528571428571425,66.85,43.54,51.871428571428574,69.78571428571429,,68.66666666666667
BARTELSO SD 57,86.8,,84.6,68.6,,,74.4,,
BARTONVILLE SD 66,34.6,28.2,,15.5,,,,,
BATAVIA USD 101,65.81666666666666,42.73333333333333,44.23333333333333,65.89999999999999,40.333333333333336,42.68333333333334,54.25,,54.2
BEACH PARK CCSD 3,29.25,24.925,,20.025000000000002,18.533333333333335,,20.075,,
BEARDSTOWN CUSD 15,12.0,10.5,,16.4,15.8,,,,
BEECHER CITY CUSD 20,54.9,52.2,,50.0,47.8,,42.3,,
BEECHER CUSD 200U,74.0,62.9,40.0,45.6,33.0,19.7,38.5,,
BELLE VALLEY SD 119,47.7,42.3,8.4,24.7,19.3,,37.6,29.7,
BELLEVILLE SD 118,47.0875,42.1125,25.400000000000002,31.3125,25.8125,27.9,38.55,33.325,
BELLWOOD SD 88,32.15,32.275,,21.200000000000003,21.275,,23.3,23.6,
BELVIDERE CUSD 100,36.25,29.833333333333332,,33.199999999999996,25.866666666666664,22.2,32.71666666666667,23.299999999999997,
BEMENT CUSD 5,52.6,51.5,,45.6,45.5,,61.1,,
BENJAMIN SD 25,59.0,,,62.1,,,,,
BENSENVILLE SD 2,42.349999999999994,33.95,28.1,34.45,25.2,19.3,31.549999999999997,20.299999999999997,
BENTON CCSD 47,43.9,38.9,27.3,32.0,28.0,19.7,,,
BERKELEY SD 87,31.75,30.25,,28.35,25.950000000000003,21.9,18.55,15.45,
BERWYN NORTH SD 98,49.1,47.833333333333336,27.95,38.9,36.666666666666664,24.0,28.599999999999998,26.433333333333334,
BERWYN SOUTH SD 100,44.75,39.766666666666666,,37.833333333333336,34.36666666666667,,37.019999999999996,33.833333333333336,
BETHALTO CUSD 8,42.85,32.0,25.8,35.5,28.4,,38.8,27.3,
BETHEL SD 82,48.5,45.2,,30.0,27.8,,35.1,,
BETTY SHABAZZ INTERNATIONAL CHARTER SCHOOL,44.3,44.3,,20.95,20.95,,25.2,25.2,
BIG HOLLOW SD 38,42.4,29.1,,40.4,28.4,,,,
BISMARCK HENNING CUSD,33.9,17.9,,41.5,28.6,,,,
BLOOMINGDALE SD 13,72.75,63.2,34.4,58.75,52.6,44.6,61.75,,
BLOOMINGTON SD 87,38.6,30.116666666666664,24.5,28.5,20.616666666666667,26.8,40.675000000000004,46.55,
BLUE RIDGE CUSD 18,48.849999999999994,43.6,30.8,38.3,30.65,15.4,30.5,27.3,
BLUFORD UNIT SCHOOL DISTRICT 318,38.7,26.9,,19.1,,,24.0,,
BOND COUNTY CUSD 2,65.6,56.150000000000006,27.1,44.349999999999994,35.95,,56.6,43.9,
BOURBONNAIS SD 53,50.625,43.06666666666666,33.75,49.475,39.1,34.2,32.9,27.4,25.8
BRACEVILLE SD 75,27.3,30.8,,18.4,,,,,
BRADFORD CUSD 1,58.8,53.3,,54.9,46.7,,,,
BRADLEY SD 61,41.1,36.9,19.1,28.6,27.4,18.1,31.0,31.7,
BREESE ESD 12,78.0,69.4,29.4,53.9,40.9,,46.2,,
BRIMFIELD CUSD 309,54.7,32.1,,45.5,20.4,,54.2,,
BROOKFIELD LAGRANGE PARK SD 95,62.6,46.3,26.3,47.1,26.3,20.0,46.6,,34.4
BROOKLYN UD 188,,,,,,,,,
BROOKWOOD SD 167,27.0,25.2,,23.4,18.6,,16.9,17.6,
BROWN COUNTY CUSD 1,42.7,28.3,,46.3,30.4,,,,
BROWNSTOWN CUSD 201,47.0,38.4,,24.2,20.5,,26.3,,
BRUSSELS CUSD 42,,,,,,,,,
BUNCOMBE CONS SD 43,37.5,37.8,,30.0,29.7,,,,
BUNKER HILL CUSD 8,56.5,43.2,,22.4,14.4,,54.8,34.2,
BURBANK SD 111,48.98333333333333,47.550000000000004,,33.166666666666664,30.866666666666664,,28.316666666666666,26.1,
BUREAU VALLEY CUSD 340,62.0,53.5,30.9,47.2,33.0,16.4,53.8,41.9,
BURNHAM SD 154-5,37.1,37.2,,19.6,20.2,,,,
BUSHNELL PRAIRIE CITY CUSD 170,17.6,,,16.7,,,,,
BUTLER SD 53,84.6,,45.8,79.9,,62.5,87.5,,
BYRON CUSD 226,68.9,58.0,25.0,70.5,58.0,32.1,63.0,58.1,
CAHOKIA CUSD 187,15.233333333333333,13.200000000000001,,8.733333333333334,9.3,,,,
CAIRO USD 1,,,,,,,,,
CALHOUN CUSD 40,45.7,32.0,,40.1,33.3,32.3,39.0,33.3,
CALUMET CITY SD 155,20.1,21.0,,13.4,13.8,,,,
CALUMET PUBLIC SD 132,31.45,33.75,,7.9,,,13.4,,
CAMBRIDGE CUSD 227,71.0,72.1,,61.3,55.8,,67.7,,
CANTON UNION SD 66,48.36666666666667,36.36666666666667,,50.03333333333333,39.833333333333336,,,,
CARBON CLIFF-BARSTOW SD 36,21.7,21.7,,9.6,9.6,,27.3,27.3,
CARBONDALE ESD 95,27.25,19.05,,16.45,8.75,,26.0,12.8,
CARLINVILLE CUSD 1,64.6,58.0,46.0,51.2,41.2,38.0,41.3,31.4,
CARLYLE CUSD 1,54.7,45.1,,51.4,41.5,,,,
CARMI-WHITE COUNTY CUSD 5,66.19999999999999,51.2,32.7,72.15,63.55,58.7,54.8,32.6,
CARRIER MILLS-STONEFORT CUSD 2,46.2,42.0,,9.7,,,20.0,,
CARROLLTON CUSD 1,35.0,30.3,24.3,25.9,22.2,,30.2,,
CARTERVILLE CUSD 5,71.65,59.15,31.1,68.85,56.85,30.0,52.3,47.0,
CARTHAGE ESD 317,35.6,34.3,,24.1,,,,,
CARY CCSD 26,60.56666666666666,45.300000000000004,30.766666666666666,51.13333333333333,34.4,33.0,52.4,29.4,
