District,ELA_Proficiency,ELA_Proficiency_LowIncome,ELA_Proficiency_CWD,Math_Proficiency,Math_Proficiency_LowIncome,Math_Proficiency_CWD,Science_Proficiency,Science_Proficiency_LowIncome,Science_Proficiency_CWD,missing_frac,missing_count
A-C CENTRAL CUSD 262,56.5,50.0,35.60241861572439,43.5,41.271621283890696,37.21517318275507,51.77959440951407,52.872208163878874,38.0411044859069,0.6,6.0
ABINGDON-AVON CUSD 276,52.0,38.6,25.196373151830976,45.8,29.7,22.470877167607416,45.8,29.187738340483783,29.581651844134186,0.4,4.0
ACE AMANDLA CHARTER SCHOOL,45.00763492802237,38.54585225479123,21.921152950625437,29.322000933554236,29.027805502242824,24.14431208766062,45.69008851355023,36.39943675864971,34.68653141891675,0.9,9.0
ADDISON SD 4,40.028571428571425,34.42857142857143,25.0,30.214285714285715,25.657142857142855,25.0,34.980000000000004,33.86666666666667,39.254788397068616,0.1,1.0
AKIN CCSD 91,68.9,60.0,27.585573400741442,57.4,48.6,33.87990711194963,57.1,41.628292833954305,37.37713355012083,0.4,4.0
ALBERS SD 63,66.0,61.642335335221546,44.67206218919618,56.0,47.23136333850074,38.480331426495596,63.0,46.09730068062492,41.6793221709984,0.6,6.0
ALDEN HEBRON SD 19,60.2,62.2,39.52640463428371,53.0,56.8,43.024751713378095,59.1,46.57292198508864,42.82994878827671,0.4,4.0
ALLEN-OTTER CREEK CCSD 65,38.5,21.34690313933355,37.464356766433994,33.8,15.071977620696753,35.71597146090663,58.8,56.226578492096735,65.6001097679582,0.6,6.0
ALLENDALE CCSD 17,51.1,41.9,36.98259087903698,27.3,24.8691795409284,25.37081819174162,40.0,36.804063783449344,35.091702075955865,0.5,5.0
ALSIP-HAZLGRN-OAKLWN SD 126,49.23333333333333,43.8,5.4020827526897675,27.8,23.766666666666666,0.4575084758862835,31.0,18.9,-9.724262927078811,0.3,3.0
ALTAMONT CUSD 10,62.2,60.0,21.1,45.9,41.6,19.3,48.1,49.0,24.130355248981267,0.1,1.0
ALTON CUSD 11,33.666666666666664,24.233333333333334,17.8,26.566666666666663,18.8,16.6,22.266666666666666,18.8,24.4,0.0,0.0
ALWOOD CUSD 225,57.9,52.8,23.074678612303742,43.4,33.3,21.791864978659742,44.0,30.227351701368864,36.11688069104745,0.4,4.0
AMBOY CUSD 272,55.7,42.9,43.54383717779064,58.8,53.1,50.0,46.89013037422232,35.510386636209965,44.04602222163382,0.4,4.0
ANNA CCSD 37,50.8,47.2,35.305275103389924,50.0,40.3,26.93202478482414,64.36441351755373,59.23708325339172,38.49140807223836,0.5,5.0
ANNAWAN CUSD 226,75.9,69.8,39.484229941227724,50.7,44.9,13.35702595041248,52.9,34.3139066377285,0.5197788613496108,0.4,4.0
ANTIOCH CCSD 34,55.6,38.3,29.433333333333337,47.4,29.200000000000003,26.0,48.06666666666666,32.6,48.1,0.0,0.0
APTAKISIC-TRIPP CCSD 102,72.0,48.9,34.7,69.86666666666666,34.8,33.3,69.4,40.0,34.2,0.0,0.0
ARBOR PARK SD 145,39.6,35.5,19.61572659072684,36.3,30.4,15.152209624109224,31.49802421902997,24.485731554533892,48.41565514312276,0.5,5.0
ARCOLA CUSD 306,42.2,28.2,21.8,26.2,14.7,6.606000288119565,40.9,38.5,44.93878787451784,0.2,2.0
ARGENTA-OREANA CUSD 1,51.9,38.2,32.540035166401886,40.9,27.5,37.59600191798903,40.0,35.6,41.56386159169385,0.3,3.0
ARLINGTON HEIGHTS SD 25,73.05714285714285,50.1,46.6,71.7,49.349999999999994,45.400000000000006,67.25714285714285,39.570648427902505,48.95,0.1,1.0
ARMSTRONG-ELLIS CONS SD 61,63.3,53.6,27.123130677626367,31.7,24.21108371310161,14.902877079058815,60.0,48.58335804416805,45.34772183785598,0.5,5.0
ARTHUR CUSD 305,47.43333333333334,36.86666666666667,31.4,34.63333333333333,26.96666666666667,31.4,37.5,40.16255697754106,34.125229806168754,0.2,2.0
ASHLEY CCSD 15,44.9,39.5,26.177514880503683,33.3,28.9,20.80069488203572,41.2,29.730748904535606,44.13386225772405,0.4,4.0
ASHTON-FRANKLIN CENTER CUSD 275,42.6,44.3,21.479513374373724,31.9,29.0,19.608971477199614,44.4,46.18686456957456,29.819644363842205,0.4,4.0
ASTORIA CUSD 1,47.6,40.0,40.98524111169781,30.2,30.0,29.743213764200064,91.7,90.27235639608841,82.44783136957659,0.4,4.0
ATHENS CUSD 213,68.85,54.650000000000006,46.244560870142614,63.5,45.75,41.21114711834862,54.7,45.071913284781665,32.0717555806211,0.4,4.0
ATWOOD HEIGHTS SD 125,31.7,27.6,20.4,20.1,19.4,12.097282061213493,38.9,45.0,34.52148381157716,0.2,2.0
AUBURN CUSD 10,37.0,29.5,-0.8211724404842276,27.6,20.2,27.851106910199523,36.6,32.4,25.700878559173866,0.3,3.0
AURORA EAST USD 131,27.26923076923077,27.083333333333332,77.3,18.03076923076923,18.172727272727272,47.6,36.25,53.833333333333336,73.40208531419913,0.1,1.0
AURORA WEST USD 129,31.839999999999996,22.52,25.0,29.65,20.61,24.5,33.2375,23.566666666666663,32.577279334894854,0.1,1.0
AVISTON SD 21,80.4,50.0,38.6,75.1,43.42551831499599,27.3,66.3,46.41945848299655,30.315994125922952,0.3,3.0
AVOCA SD 37,88.2,80.8,64.5,76.9,57.7,51.6,70.4,53.267924149711206,54.29860309522836,0.2,2.0
BALL CHATHAM CUSD 5,69.7,54.7,36.05,60.6,40.025,33.125,48.1,20.3,20.0,0.0,0.0
BANNOCKBURN SD 106,86.7,73.24639438996459,58.54268173235259,81.4,63.0349561759996,66.0647381085325,70.3,57.32114643105788,60.23043508497459,0.6,6.0
BARRINGTON CUSD 220,75.9875,62.10000000000001,60.528571428571425,66.85,43.54,51.871428571428574,69.78571428571429,50.94995085449168,68.66666666666667,0.1,1.0
BARTELSO SD 57,86.8,74.54335435446943,84.6,68.6,48.49463547112211,59.1253110581813,74.4,60.17405983007923,78.84773091805035,0.5,5.0
BARTONVILLE SD 66,34.6,28.2,26.099073437822113,15.5,16.94667078261224,12.86080259318965,41.633330693940216,38.72462480346158,52.728590873368155,0.6,6.0
BATAVIA USD 101,65.81666666666666,42.73333333333333,44.23333333333333,65.89999999999999,40.333333333333336,42.68333333333334,54.25,45.20941370986779,54.2,0.1,1.0
BEACH PARK CCSD 3,29.25,24.925,25.953359011313125,20.025,18.533333333333335,20.879917436850995,20.075,11.123434802501256,26.392860961613057,0.4,4.0
BEARDSTOWN CUSD 15,12.0,10.5,-4.928763473772458,16.4,15.8,-4.706388738103628,33.72471632330328,39.52896067193441,25.740366456633407,0.5,5.0
BEECHER CITY CUSD 20,54.9,52.2,40.809273991796616,50.0,47.8,36.839232925114324,42.3,48.38774638789794,42.54524364038117,0.4,4.0
BEECHER CUSD 200U,74.0,62.9,40.0,45.6,33.0,19.7,38.5,25.20354850932258,44.72585829708859,0.2,2.0
BELLE VALLEY SD 119,47.7,42.3,8.4,24.7,19.3,1.5170518469166785,37.6,29.7,9.338804730756468,0.2,2.0
BELLEVILLE SD 118,47.0875,42.1125,25.4,31.3125,25.8125,27.9,38.55,33.325,44.914359039179764,0.1,1.0
BELLWOOD SD 88,32.15,32.275,11.147735737112676,21.200000000000003,21.275,4.100042284193631,23.3,23.6,19.0255815641899,0.3,3.0
BELVIDERE CUSD 100,36.25,29.833333333333332,16.326456199459585,33.199999999999996,25.866666666666664,22.2,32.71666666666667,23.299999999999997,38.66787647928274,0.2,2.0
BEMENT CUSD 5,52.6,51.5,36.008159808199714,45.6,45.5,24.56501844429863,61.1,59.261783259067,43.349109918987274,0.4,4.0
BENJAMIN SD 25,59.0,50.695024675514,37.00712316719659,62.1,54.994567737521876,43.15000956661243,58.86049218289961,53.513580418487216,60.22727642422279,0.7,7.0
