,count,mean,std,min,25%,50%,75%,max,median,skew,kurtosis
student_disabilities_percent,54.0,18.090740740740742,3.7712551595836414,8.8,15.6,17.7,20.675,28.5,17.7,0.08494881234515285,0.26239432106092186
student_low_income_percent,54.0,42.742592592592594,29.674133338280622,11.6,18.674999999999997,25.7,72.80000000000001,99.4,25.7,0.668063473845394,-1.326435071796447
HEI 2015 Total Score,54.0,57.21757662611111,8.354165313594384,38.46152381,52.1053630975,58.951685525,62.813546367499995,75.57825,58.951685525,-0.45953051761413016,-0.24657287464329158
HEI 2015 Total Fruits (0-5),54.0,3.556256311962963,1.5209226687139934,0.0,2.8350125,4.1486821945,4.83918361275,5.0,4.1486821945,-1.0584114410194747,0.17531414013923063
HEI 2015 Whole Fruits (0-5),54.0,4.074195330796297,1.4120330584379157,0.0,4.0392619045,4.694095238,4.93883062775,5.0,4.694095238,-2.0131659445142334,3.1619735011763805
HEI 2015 Total Vegetables (0-5),54.0,3.036338437148148,1.0379598532186771,0.697142857,2.2646964282499997,3.1201285715,3.889197619,4.960368421,3.1201285715,-0.1957946842458399,-0.7529836450086278
HEI 2015 Greens and Beans (0-5),54.0,1.6318138081111113,0.9641376268398519,0.0,1.101736842,1.5852142855,2.16321583825,5.0,1.5852142855,0.6737011110196679,1.5630964499085924
HEI 2015 Whole Grains (0-10),54.0,3.5363685993888887,2.2712065227289426,0.327,1.56743125,3.1485553360000003,5.600160714,7.6427,3.1485553360000003,0.3134272527899249,-1.2638052258211145
HEI 2015 Dairy (0-10),54.0,8.33954767424074,2.318075481218721,2.5712,6.3960517855,9.698933230000002,10.0,10.0,9.698933230000002,-1.135119287177976,-0.3365282521293609
HEI 2015 Total Protein Foods (0-5),54.0,3.52990025287037,0.7858908321157346,2.002647059,3.049535714,3.421457143,4.1397779505,4.956285714,3.421457143,0.01777759886758186,-0.8424233341897307
HEI 2015 Seafood and Plant Proteins (0-5),54.0,1.7851569748148148,1.425402142281146,0.0,0.75480769225,1.265173913,2.3251785715000004,5.0,1.265173913,1.146794530518617,0.2913305842499385
HEI 2015 Fatty Acids (0-10),54.0,4.324254851018519,1.595594641806865,1.38065,3.15500028625,4.238501812,5.19033452375,8.488714286,4.238501812,0.41891022505199693,-0.07121505999175826
HEI 2015 Refined Grains (0-10),54.0,4.271798548462963,2.022289796754973,0.4618,2.485655921,4.078440476,5.924664255750001,8.717714286,4.078440476,0.32631546007179196,-0.8457683627830264
HEI 2015 Sodium (0-10),54.0,4.541230007611111,1.8431089791843023,0.63447619,3.56785096125,4.463282143,6.04807142825,8.14955,4.463282143,-0.3423733003426192,-0.45993795113128133
HEI 2015 Added Sugars (0-10),54.0,8.197020476703702,1.7061163746484838,3.168238095,7.74087499975,8.6497460525,9.47301964275,9.9908,8.6497460525,-1.209279134502425,0.6896962195989271
HEI 2015 Saturated Fats (0-10),54.0,6.393686194537037,1.6784933054448867,2.622952381,5.1629160715,6.494635714499999,7.464825758,9.541238095,6.494635714499999,0.021542842595927984,-0.37855563577248086
Total Fruit Servings in cup equivalents per 1000 kcal,54.0,0.77338233,0.45254940148200323,0.0,0.45668684175,0.7254047619999999,1.13255357125,1.802636364,0.7254047619999999,0.18282387063321406,-0.5607795029931202
Whole Fruit Servings in cup equivalents per 1000 kcal,54.0,0.5195771632592593,0.2702441884244582,0.0,0.37175714249999997,0.4889166665,0.67201934525,1.087263158,0.4889166665,0.030021602648431515,-0.35764579987574363
Total Vegetable Servings in cup equivalents per 1000 kcal,54.0,0.767275874425926,0.34263601985498765,0.153333333,0.5036614905,0.7267333335,1.013548611,1.616210526,0.7267333335,0.42763645393523514,-0.5758244099619128
Greens and Beans Servings in cup equivalents per 1000 kcal,54.0,0.14837950155555554,0.1291664771247902,0.0,0.06417559525,0.13651785700000002,0.18779580775000002,0.763736842,0.13651785700000002,2.408414243741151,9.201230302505461
Whole Grain Servings in ounce equivalents per 1000 kcal,54.0,0.6464011237222222,0.4384144855314689,0.049047619,0.26862019225,0.5208897244999999,0.9783452385,1.6105,0.5208897244999999,0.5378582553993555,-0.8899206796056554
Dairy Servings in cup equivalents per 1000 kcal,54.0,1.6452167911296292,0.7027802395519488,0.3502,1.013855357,1.7161458335,2.1884125,3.086913043,1.7161458335,-0.10465109246215067,-0.968395719330311
Total Protein Servings in ounce equivalents per 1000 kcal,54.0,2.498729280481481,0.9503245015283318,1.1063,1.8349285714999999,2.294891369,2.97573690475,5.370869565,2.294891369,1.0926184769983076,1.08229123305216
Seafood and Plant Protein Servings in ounce equivalents per 1000 kcal,54.0,0.6250752752407408,0.5843946946914818,0.0,0.3052559525,0.5041190475,0.738275,3.597210526,0.5041190475,3.000216488898264,12.598820923359733
Fatty Acids Ratio,54.0,1.8127337714629628,0.29304573014434904,1.2683,1.5803027952500002,1.8035238095000001,1.98765,2.497190476,1.8035238095000001,0.2808866112175039,-0.4343840283584752
Refined Grains in ounce equivalents per 1000 kcal,54.0,3.407555507685185,0.8212752953933035,1.720571429,2.81459523825,3.385638158,4.02897994975,5.35415,3.385638158,0.1751403906031339,-0.5275736657925152
Sodium (g) per 1000 kcal,54.0,1.6559055662222222,0.2723027490521858,1.172761905,1.459455357,1.6145214285,1.771272059,2.481619048,1.6145214285,1.0414117450730758,0.9856566108784786
% Calories from Added Sugars (by Total Sugars),54.0,8.558393990740742,4.335877899700344,2.47165,5.29049940475,7.5559761905,10.79196607,19.8417619,7.5559761905,0.8056480764636877,-0.1517222347781515
% Calories from SFA.x,54.0,10.7105465955,1.7016139563490393,7.303318182,9.7228376625,10.592922304999998,11.8696702375,14.92604762,10.592922304999998,-0.06701606328754697,-0.10367686847415536
Total Fruit Servings in cup equivalents,54.0,1.0386551509259259,0.6207483276220457,0.0,0.50116184175,0.9634122805,1.535422619,2.197571429,0.9634122805,0.043455429189935474,-1.1285362668288226
Whole Fruit Servings in cup equivalents,54.0,0.6815347965,0.339410294128622,0.0,0.448,0.684386447,0.886975564,1.492238095,0.684386447,-0.050023479279240224,0.04694795675674257
Total Vegetable Servings in cup equivalents,54.0,1.0260302565,0.5171431386536602,0.154666667,0.7180357145,0.96974812,1.2410582385,3.199526316,0.96974812,1.5818352460107374,5.025630896939974
Greens and Beans Servings in cup equivalents,54.0,0.19755901238888884,0.2157839539088219,0.0,0.0999,0.166845238,0.211583333,1.485842105,0.166845238,4.276616114988153,24.116403307536686
Whole Grain Servings in ounce equivalents,54.0,0.974214984574074,0.8514274376449337,0.052571429,0.30166666675,0.7728968254999999,1.4132321429999999,3.907857143,0.7728968254999999,1.2738171884297531,1.739843087741734
Dairy Servings in cup equivalents,54.0,2.4624846493148147,1.5298717943879256,0.28265,1.3674642855,2.345029304,3.2705429602500002,6.47547619,2.345029304,0.6127033783699414,-0.2317133164470424
Total Protein Servings in ounce equivalents,54.0,3.5612680002777775,1.8375459309631896,1.347101831,2.275257143,2.984007143,4.251940476,9.858421053,2.984007143,1.2924911004124333,1.549960842773816
Seafood and Plant Protein Servings in ounce equivalents,54.0,0.9674371730370369,1.1579528827029977,0.0,0.320809524,0.543759524,1.24431818175,7.075105263,0.543759524,3.2354226545866296,14.211539907364276
Total Polyunsaturated Fatty Acids (PUFA) (g) and Total Monounsaturated Fatty Acids (MUFA) (g),54.0,31.228367314074077,16.03194504661242,9.95375,20.7493385875,26.00970357,41.308318452500004,84.45352381,26.00970357,1.2229986171412401,1.2192454261993855
Total Saturated Fatty Acids (SFA) (g).x,54.0,17.82066608112963,8.441879023132492,6.210805556,12.814286255,16.09136905,20.78359226,51.10561905,16.09136905,1.5076777821371432,3.5003559780705076
Refined Grains in ounce equivalents,54.0,4.934123853499999,2.4079775444000178,1.800138889,3.3338571430000004,3.9846190475000003,6.08870535725,11.46033333,3.9846190475000003,1.085402417533513,0.2673516531507558
Sodium (g),54.0,2.428848168055555,1.1099050984903283,0.868777778,1.6525457395,2.1106666665000002,3.111547619,6.032809524,2.1106666665000002,1.1498513187909947,1.0274049517168646
Kcals from Added Sugars (by Total Sugars),54.0,139.140436195,120.99541174747682,17.846,59.4681,94.84727731000001,206.8378286,603.4790476,94.84727731000001,1.6808497096306438,3.196581139994349
